Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
Mathematics,75,109,55,45,22,,71,65,60,64,42,,72,145,15,73,163,,230,109,41,41,40,,69,177,11,61,84,,49,14,51,151,57,,46,91
Biology,33,56,27,18,11,,42,29,28,35,22,,33,71,9,37,86,,96,62,15,17,20,,32,84,6,31,41,,26,8,24,78,28,,20,53
Chemistry,28,50,24,14,8,,27,25,20,30,19,,33,55,6,25,67,,80,56,12,16,19,,21,66,5,24,27,,20,6,17,59,17,,20,36
Science (general),3,7,7,6,1,,3,1,7, -   ,3,,1,12,1,3,1,,14,2,3, -   ,3,,3,9,3,3,4,,4,1,6,11,2,,2,4
Physics,28,40,18,12,7,,24,21,15,24,16,,27,51,6,29,63,,65,45,14,12,16,,26,53,2,23,29,,14,6,15,52,22,,17,27
Economics, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,3, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   ,2, -   ,, -   , -   
Geography,20,41,27,17,7,,26,17,15,21,15,,21,47,7,19,41,,55,49,9,14,15,,26,46,7,24,21,,18,5,15,50,23,,12,25
History,30,41,23,15,8,,37,24,22,23,13,,19,58,6,25,57,,63,51,14,16,16,,25,59,6,21,26,,21,5,14,56,23,,15,31
Religious Education,20,33,8,9,6,,21,20,9,19,13,,22,46,3,23,42,,64,25,11,14,12,,18,49,4,17,28,,12,1,16,36,18,,13,29
Modern Studies,20,30,2,8,9,,17,18,12,18,15,,10,28,1,14,45,,55,12,8,5,9,,9,50,1,12,24,,11,4,13,34,8,,15,15
Media Studies, -   , -   , -   , -   , -   ,, -   ,1, -   , -   , -   ,,1,4, -   ,1, -   ,,1, -   , -   , -   ,1,, -   ,4, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Business Education,25,44,21,17,9,,26,22,13,26,19,,22,47,6,25,65,,86,26,15,12,12,,14,57,4,15,27,,16,9,19,61,14,,15,37
Computing,17,23,16,11,8,,9,23,12,21,11,,22,51,2,22,45,,52,15,12,11,9,,20,41,2,18,29,,9,3,15,49,8,,18,28
Home Economics,23,35,23,16,11,,34,26,19,22,14,,19,57,8,28,61,,63,33,15,17,18,,21,66,5,28,25,,20,7,21,57,11,,16,28
Technical Education,35,66,34,25,17,,45,35,34,33,23,,28,61,9,41,94,,93,75,23,28,22,,39,90,9,34,46,,25,10,27,77,24,,24,50
PSE/Guidance,30,61,17,4,3,,3,18,9,4,22,,5,49,3,11,11,,45,23,1,19,26,,16,14,2,24,9,,28,5,23,14, -   ,, -   ,12
Art & Design,34,46,25,24,11,,33,30,30,29,19,,26,61,6,31,76,,85,54,17,20,19,,31,80,5,28,40,,20,8,24,64,22,,23,35
Music,28,35,19,21,7,,29,23,21,21,16,,22,49,6,28,57,,79,47,16,18,13,,29,67,5,22,36,,18,6,20,64,20,,19,35
Physical Education,48,73,38,33,20,,60,47,39,42,36,,50,113,11,71,121,,155,90,25,33,27,,41,128,8,49,58,,39,10,41,106,42,,30,69
Drama,16,27,5,5,2,,18,9,2,8,7,,18,30, -   ,16,44,,54,5,4,5,10,,3,27,2,8,4,,3, -   , -   ,32,1,,1,12
Learning Support ,7,77,27,17,4,,43,53,36,20,18,,24,34,2,50,23,,51,21,9,21,23,,35,37,9,34,15,,7,4,37,39,5,,15,17
ASN general,13,10,7,4,5,,3,2,3,1, -   ,, -   ,1,2,2,32,,4,16,1, -   ,4,, -   ,1, -   ,3,4,,1,3,1,5,2,, -   ,5
ASN Behavioural Support,4,12,3,3, -   ,,1,1, -   , -   ,3,,2,5, -   ,5,13,,3,6,2,1,2,,4, -   ,1,2,1,,4,1,1,5,4,,6, -   
ASN Learning Difficulties ,13,16,7,3,5,, -   ,5,2, -   ,7,,3,7, -   ,1,10,,4,14,4,1,6,,1,1,6,1,6,,3,10,1,13,11,,1,3
ASN Physical Disabilities, -   ,1, -   , -   ,1,, -   ,2, -   , -   , -   ,, -   , -   , -   , -   ,4,, -   ,2, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   ,1, -   ,, -   , -   
Hearing Impairment, -   , -   , -   , -   , -   ,, -   ,1,4, -   , -   ,, -   , -   , -   , -   , -   ,,2, -   ,2, -   , -   ,, -   ,6, -   , -   , -   ,, -   , -   , -   ,5, -   ,, -   , -   
Visual Impairment, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,3, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   ,5, -   ,, -   , -   
Not known/Other,37,11,6,3, -   ,,3,1,3,3, -   ,,2,7,6,4,60,,9,82, -   , -   ,4,,2,7, -   ,1,6,,2, -   ,1,6,2,,1,4
