Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
Home Economics,24,35,23,15,9,,29,29,18,22,15,,19,53,9,28,59,,66,34,12,15,16,,19,60,4,27,26,,20,6,22,54,13,,16,28
Technical Education,28,68,32,23,15,,42,31,34,29,24,,25,63,9,42,89,,94,69,22,27,21,,41,89,10,34,46,,24,9,28,74,24,,23,48
PSE/Guidance,28,63,18,4,6,,3,18,9,4,18,,4,49,3,12,20,,41,27,1,19,25,,17,12,2,26,10,,28,5,19,14, -   ,, -   ,11
Art & Design,31,51,25,24,10,,32,31,32,27,19,,27,63,7,32,74,,88,55,17,19,18,,32,82,5,26,42,,18,7,22,63,22,,22,35
Music,25,36,20,22,8,,25,22,19,22,17,,26,47,4,30,58,,77,45,15,18,11,,26,67,6,21,34,,19,5,19,63,18,,18,33
Physical Education,51,73,38,33,17,,57,46,44,46,33,,57,109,11,77,123,,155,75,26,34,29,,42,131,6,51,58,,38,9,39,105,40,,30,70
Drama,16,24,6,7, -   ,,18,7,3,11,7,,18,34, -   ,16,47,,51,5,3,5,10,,2,27,3,10,3,,4, -   , -   ,33,1,,1,12
Learning Support ,9,80,22,17,6,,36,53,33,15,18,,22,31,1,49,22,,45,31,9,14,21,,36,35,9,37,13,,6,5,37,39,6,,15,17
ASN general,14,12,7,4,4,,2,2,4,1,1,, -   , -   ,1,1,38,,3,18,1, -   ,4,, -   ,1, -   ,3,3,, -   , -   ,1,5,2,, -   ,6
ASN Behavioural Support,8,12,3,2, -   ,,1,1, -   , -   ,3,,2,5, -   ,6,12,,2,5,2,1,2,,3, -   ,1,1,1,,4,1,2,3,4,,4, -   
ASN Learning Difficulties ,11,18,13,4,5,, -   ,4,4, -   ,7,,3,7,2,1,13,,4,18,4, -   ,7,, -   , -   ,5, -   ,5,,3,13,1,13,7,,1,1
ASN Physical Disabilities, -   , -   , -   , -   ,1,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   ,2,, -   ,2, -   , -   ,1,, -   , -   , -   , -   , -   ,, -   , -   , -   ,1, -   ,, -   , -   
Hearing Impairment, -   , -   , -   , -   , -   ,, -   , -   ,5, -   , -   ,, -   , -   , -   , -   , -   ,,2, -   ,4, -   , -   ,, -   ,8, -   , -   , -   ,, -   , -   , -   ,6, -   ,, -   , -   
Visual Impairment, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,6, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   ,5, -   ,, -   , -   
Not known/Other,32,15,6,6,1,,2,1,1,5, -   ,,1,9,5,3,52,,12,58, -   , -   ,4,,4,5, -   , -   ,5,,1,1,3,9,2,, -   ,3
