Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
Modern Studies,682,504,189,174,141,32,-,329,93,72,68,233,16,-,353,96,102,73,271,16,-,134
Psychology (New),117,85,29,30,26,4,-,30,3,9,5,17,0,-,87,26,21,21,68,4,-,19
"Religious, Moral and Philosophical Studies (New)",947,624,325,147,152,48,-,363,129,54,62,245,20,-,584,196,93,90,379,28,-,53
,,,,,,,,,,,,,,,,,,,,,,
Administration,"2,445","1,943",737,718,488,163,-,730,184,223,152,559,49,-,"1,715",553,495,336,"1,384",114,-,228
Applied Practical Electronics,183,154,82,40,32,2,-,169,75,37,31,143,1,-,14,7,3,1,11,1,-,11
Business Management,729,554,231,176,147,52,-,379,127,86,75,288,30,-,350,104,90,72,266,22,-,94
Care,408,352,211,80,61,7,-,25,18,1,4,23,0,-,383,193,79,57,329,7,-,25
Computing Studies (New),"2,294","2,026","1,133",555,338,76,-,"1,475",709,372,217,"1,298",54,-,819,424,183,121,728,22,-,136
Construction Crafts,"1,645",986,-,-,-,0,986,"1,595",-,-,-,961,-,961,50,-,-,-,25,-,25,33
Early Education and Childcare,"1,123",810,-,-,-,0,810,25,-,-,-,19,-,19,"1,098",-,-,-,791,-,791,38
Engineering Craft Skills,138,123,43,45,35,0,-,134,41,43,35,119,0,-,4,2,2,0,4,0,-,31
Engineering Skills,455,228,-,-,-,-,228,451,-,-,-,226,0,226,4,-,-,-,2,-,2,16
Graphic Communication,328,199,51,70,78,30,-,234,38,43,56,137,24,-,94,13,27,22,62,6,-,53
Hairdressing,944,653,-,-,-,-,653,13,-,-,-,8,-,8,931,-,-,-,645,-,645,23
Home Economics: Fashion and Textile Technology,473,427,174,185,68,14,-,18,2,5,7,14,2,-,455,172,180,61,413,12,-,45
Home Economics: Health and Food Technology,453,436,194,187,55,6,-,139,51,61,19,131,3,-,314,143,126,36,305,3,-,32
Home Economics: Lifestyle and Consumer Technology,790,733,318,323,92,25,-,15,6,6,3,15,0,-,775,312,317,89,718,25,-,55
Hospitality,128,90,-,-,-,-,90,50,-,-,-,38,-,38,78,-,-,-,52,-,52,12
Hospitality: Practical Cookery,"5,684","5,292","4,373",603,316,155,-,"2,153","1,478",307,176,"1,961",90,-,"3,531","2,895",296,140,"3,331",65,-,267
Personal Development,74,70,-,-,-,-,70,22,-,-,-,20,-,20,52,-,-,-,50,-,50,7
Rural Skills,314,243,-,-,-,-,243,244,-,-,-,185,-,185,70,-,-,-,58,-,58,26
Travel and Tourism,673,614,399,133,82,13,-,256,153,50,32,235,5,-,417,246,83,50,379,8,-,82
Uniformed and Emergency Services,51,31,-,-,-,-,31,30,-,-,-,17,-,17,21,-,-,-,14,-,14,5
Woodworking Skills,"1,792","1,639",567,574,498,13,-,"1,583",505,506,435,"1,446",10,-,209,62,68,63,193,3,-,189
,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"3,287","3,019","1,638",879,502,114,-,"1,338",612,360,240,"1,212",64,-,"1,949","1,026",519,262,"1,807",50,-,217
Drama,199,187,124,49,14,1,-,88,51,27,7,85,0,-,111,73,22,7,102,1,-,34
Media Studies,493,286,79,97,110,44,-,278,28,44,65,137,28,-,215,51,53,45,149,16,-,55
Music,795,588,141,216,231,59,-,381,67,101,106,274,29,-,414,74,115,125,314,30,-,127
,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"1,522","1,374",841,326,207,31,-,"1,031",575,207,147,929,19,-,491,266,119,60,445,12,-,111
Sport and Recreation,405,297,-,-,-,-,297,308,-,-,-,222,-,222,97,-,-,-,75,-,75,25
