Subject,male-Entries,male-A,male-A-B,male-A-C,male-A-D,male-NoAward,female-Entries,female-A,female-A-B,female-A-C,female-A-D,female-NoAward,all-Entries,all-A,all-A-B,all-A-C,all-A-D,all-NoAward,NumberOfCentres
Latin,187,170,184,186,187,0,201,176,192,197,201,0,388,346,375,383,388,0,
Mathematics,"19,710","7,221","11,047","15,340","17,413","2,297","21,572","7,957","12,453","17,328","19,382","2,190","41,141","13,511","21,162","27,454","33,366","7,775",
Media,487,148,272,427,469,18,484,239,361,464,482,2,970,294,516,703,858,112,
Modern Studies,"5,031","1,771","3,056","4,375","4,826",205,"7,160","3,224","4,866","6,484","6,985",175,"12,172","3,842","6,805","9,314","11,006","1,166",
Music,"3,411","1,896","2,803","3,298","3,383",28,"4,222","2,723","3,675","4,130","4,203",19,"7,633","4,493","6,427","7,336","7,569",64,
Music Technology,870,386,650,823,857,13,300,156,245,289,297,3,"1,170",509,865,"1,059","1,139",31,
Philosophy,109,29,59,88,103,6,187,93,128,165,182,5,296,121,176,237,265,31,
Physical Education,"11,250","6,370","9,480","10,992","11,215",35,"5,943","3,926","5,223","5,830","5,927",16,"17,190","8,219","13,636","16,327","17,056",134,
Physics,"9,696","3,544","5,850","8,158","9,150",546,"3,959","1,963","2,852","3,581","3,848",111,"13,644","4,472","7,775","10,439","12,361","1,283",
Practical Cake Craft (Hospitality: Practical Cake Craft)*,283,39,127,236,273,10,"1,004",396,726,960,985,19,"1,287",208,584,904,"1,137",150,
Practical Cookery (Hospitality: Practical Cookery)**,"1,789",471,"1,043","1,641","1,759",30,"3,839","1,584","2,911","3,704","3,816",23,"5,628","1,592","3,726","5,133","5,575",53,
Practical Electronics,394,113,234,340,376,18,24,7,16,20,23,1,418,110,239,347,398,20,
Practical Metalworking,"1,291",535,905,"1,215","1,270",21,80,46,68,76,79,1,"1,371",548,931,"1,212","1,327",44,
Practical Woodworking,"5,226","2,095","3,710","4,917","5,126",100,779,364,599,741,766,13,"6,005","2,382","4,219","5,511","5,831",174,
Psychology,224,76,144,193,209,15,665,294,459,596,637,28,889,286,460,634,748,141,
"Religious, Moral and Philosophical Studies",750,286,467,663,728,22,"1,576",691,"1,062","1,435","1,536",40,"2,324",835,"1,289","1,697","2,044",280,
Sociology,78,27,48,67,71,7,208,69,122,184,198,10,286,96,159,243,269,17,
Spanish,"1,999",965,"1,444","1,860","1,970",29,"3,814","2,311","3,094","3,657","3,782",32,"5,811","3,214","4,474","5,333","5,697",114,
Urdu,36,34,35,36,36,0,51,44,50,51,51,0,87,67,82,85,86,1,
