Subject,SubjectGroup,CommonSubjectLabel,qualification,year,SubjectTaken,SCQFLevel
Mathematics,Maths,Math,StandardGrade,1988,Yes,5
Mathematics,Maths,Math,StandardGrade,1989,Yes,5
Mathematics,Maths,Math,StandardGrade,1990,Yes,5
Mathematics,Maths,Math,StandardGrade,1991,Yes,5
Mathematics,Maths,Math,StandardGrade,1992,Yes,5
Mathematics,Maths,Math,StandardGrade,1993,Yes,5
Mathematics,Maths,Math,StandardGrade,1994,Yes,5
Mathematics,Maths,Math,StandardGrade,1995,Yes,5
Mathematics,Maths,Math,StandardGrade,1996,Yes,5
Mathematics,Maths,Math,StandardGrade,1997,Yes,5
Mathematics,Maths,Math,StandardGrade,1998,Yes,5
Mathematics,Maths,Math,StandardGrade,1999,Yes,5
Mathematics,Maths,Math,StandardGrade,2000,Yes,5
Mathematics,Maths,Math,StandardGrade,2001,Yes,5
Mathematics,Maths,Math,StandardGrade,2002,Yes,5
Mathematics,Maths,Math,StandardGrade,2003,Yes,5
Mathematics,Maths,Math,StandardGrade,2004,Yes,5
Mathematics,Maths,Math,StandardGrade,2005,Yes,5
Mathematics,Maths,Math,StandardGrade,2006,Yes,5
Mathematics,Maths,Math,StandardGrade,2007,Yes,5
Mathematics,Maths,Math,StandardGrade,2008,Yes,5
Mathematics,Maths,Math,StandardGrade,2009,Yes,5
Mathematics,Maths,Math,StandardGrade,2010,Yes,5
Mathematics,Maths,Math,StandardGrade,2011,Yes,5
Mathematics,Maths,Math,StandardGrade,2012,Yes,5
Mathematics,Maths,Math,StandardGrade,2013,Yes,5
Mathematics,Maths,Math,Intermediate2,2000,Yes,5
Mathematics,Maths,Math,Intermediate2,2001,Yes,5
Mathematics,Maths,Math,Intermediate2,2002,Yes,5
Mathematics,Maths,Math,Intermediate2,2003,Yes,5
Mathematics,Maths,Math,Intermediate2,2004,Yes,5
Mathematics,Maths,Math,Intermediate2,2005,Yes,5
Mathematics,Maths,Math,Intermediate2,2006,Yes,5
Mathematics,Maths,Math,Intermediate2,2007,Yes,5
Mathematics,Maths,Math,Intermediate2,2008,Yes,5
Mathematics,Maths,Math,Intermediate2,2009,Yes,5
Mathematics,Maths,Math,Intermediate2,2010,Yes,5
Mathematics,Maths,Math,Intermediate2,2011,Yes,5
Mathematics,Maths,Math,Intermediate2,2012,Yes,5
Mathematics,Maths,Math,Intermediate2,2013,Yes,5
Mathematics,Maths,Math,Intermediate2,2014,Yes,5
Mathematics,Maths,Math,Intermediate2,2015,Yes,5
Mathematics,Maths,Math,National5,2014,Yes,5
Mathematics,Maths,Math,National5,2015,Yes,5
Mathematics,Maths,Math,National5,2016,Yes,5
Mathematics,Maths,Math,National5,2017,Yes,5
Mathematics,Maths,Math,National5,2018,Yes,5
Mathematics,Maths,Math,National5,2019,Yes,5
Mathematics,Maths,Math,National5,2020,Yes,5
Mathematics,Maths,Math,National5,2021,Yes,5
Mathematics,Maths,Math,Higher,1986,Yes,6
Mathematics,Maths,Math,Higher,1987,Yes,6
Mathematics,Maths,Math,Higher,1988,Yes,6
Mathematics,Maths,Math,Higher,1989,Yes,6
Mathematics,Maths,Math,Higher,1990,Yes,6
Mathematics,Maths,Math,Higher,1991,Yes,6
Mathematics,Maths,Math,Higher,1992,Yes,6
Mathematics,Maths,Math,Higher,1993,Yes,6
Mathematics,Maths,Math,Higher,1994,Yes,6
Mathematics,Maths,Math,Higher,1996,Yes,6
Mathematics,Maths,Math,Higher,1997,Yes,6
Mathematics,Maths,Math,Higher,1998,Yes,6
Mathematics,Maths,Math,Higher,1999,Yes,6
Mathematics,Maths,Math,Higher,2000,Yes,6
